Latitude;Longitude;Name;UTC Date;UTC Time;Speed;Course;Sats;HDOP;CellID;LAC;Name2;TA;PL;M;IntPwr;ACC;Temp;Charging;RSSI;Mode;CAP
"53,064195N";"4,063954E";"1956";"01-01-2026";"13:02:00";"36";"24";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,064781N";"4,065755E";"1956";"01-01-2026";"13:02:02";"41";"21";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,065144N";"4,067457E";"1956";"01-01-2026";"13:02:04";"46";"18";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,065294N";"4,069045E";"1956";"01-01-2026";"13:02:06";"54";"16";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,065248N";"4,070507E";"1956";"01-01-2026";"13:02:08";"64";"13";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,065029N";"4,071840E";"1956";"01-01-2026";"13:02:10";"77";"12";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,064665N";"4,073046E";"1956";"01-01-2026";"13:02:12";"93";"11";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,064186N";"4,074133E";"1956";"01-01-2026";"13:02:14";"110";"10";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,063624N";"4,075117E";"1956";"01-01-2026";"13:02:16";"125";"11";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,063011N";"4,076017E";"1956";"01-01-2026";"13:02:18";"137";"12";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,062378N";"4,076861E";"1956";"01-01-2026";"13:02:20";"146";"13";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,061755N";"4,077674E";"1956";"01-01-2026";"13:02:22";"152";"14";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,061164N";"4,078488E";"1956";"01-01-2026";"13:02:24";"157";"15";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,060625N";"4,079332E";"1956";"01-01-2026";"13:02:26";"160";"16";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,060153N";"4,080235E";"1956";"01-01-2026";"13:02:28";"162";"17";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,059753N";"4,081220E";"1956";"01-01-2026";"13:02:30";"163";"18";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,059428N";"4,082308E";"1956";"01-01-2026";"13:02:32";"164";"18";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,059169N";"4,083513E";"1956";"01-01-2026";"13:02:34";"164";"19";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,058967N";"4,084841E";"1956";"01-01-2026";"13:02:36";"163";"19";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,058803N";"4,086292E";"1956";"01-01-2026";"13:02:38";"162";"19";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,058655N";"4,087856E";"1956";"01-01-2026";"13:02:40";"161";"20";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,058499N";"4,089515E";"1956";"01-01-2026";"13:02:42";"159";"20";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,058308N";"4,091245E";"1956";"01-01-2026";"13:02:44";"158";"20";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,058053N";"4,093014E";"1956";"01-01-2026";"13:02:46";"156";"21";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,057709N";"4,094784E";"1956";"01-01-2026";"13:02:48";"155";"21";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,057249N";"4,096515E";"1956";"01-01-2026";"13:02:50";"154";"22";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,056654N";"4,098163E";"1956";"01-01-2026";"13:02:52";"153";"23";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,055906N";"4,099684E";"1956";"01-01-2026";"13:02:54";"153";"24";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,054995N";"4,101036E";"1956";"01-01-2026";"13:02:56";"153";"24";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,053913N";"4,102181E";"1956";"01-01-2026";"13:02:58";"153";"25";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,052664N";"4,103084E";"1956";"01-01-2026";"13:03:00";"154";"26";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,051253N";"4,103721E";"1956";"01-01-2026";"13:03:02";"155";"27";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,049695N";"4,104073E";"1956";"01-01-2026";"13:03:04";"156";"28";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,048008N";"4,104131E";"1956";"01-01-2026";"13:03:06";"158";"28";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,046216N";"4,103898E";"1956";"01-01-2026";"13:03:08";"160";"29";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,044346N";"4,103384E";"1956";"01-01-2026";"13:03:10";"162";"29";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,042429N";"4,102611E";"1956";"01-01-2026";"13:03:12";"164";"30";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,040496N";"4,101610E";"1956";"01-01-2026";"13:03:14";"167";"30";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,038577N";"4,100418E";"1956";"01-01-2026";"13:03:16";"170";"30";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,036704N";"4,099081E";"1956";"01-01-2026";"13:03:18";"172";"30";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
"53,034903N";"4,097647E";"1956";"01-01-2026";"13:03:20";"175";"29";"42";"0,8";"56F837P";"2FFF";"845636";"0";"4";"0";"5847";"2868";"45";"0";"-29";;
